sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation	sourceTaxonKingdomName	targetTaxonKingdomName
	NCBI:txid9925	Capra hircus							http://purl.obolibrary.org/obo/RO_0002437	interacts with		NCBI:txid8517	Iguana iguana									ISO 3166-2:BQ	Saba					2016	10.1101/2022.05.19.492665	https://www.biorxiv.org/content/10.1101/2022.05.19.492665v1.full.pdf	van den Burg, M. P., Madden, H., & Debrot, A. O. (2022). Population estimate, natural history and conservation of the melanistic Iguana iguana population on Saba, Caribbean Netherlands. bioRxiv.	Animalia	Animalia
	NCBI:txid8517	Iguana iguana							http://purl.obolibrary.org/obo/RO_0002470	eats		NCBI:txid190524	Laguncularia racemosa									ISO 3166-2:PR	Puerto rico						10.1007/s10530-011-0057-0	https://link.springer.com/article/10.1007/s10530-011-0057-0	López-Torres, A. L., Claudio-Hernández, H. J., Rodriguez-Gomez, C. A., Longo, A. V., & Joglar, R. L. (2012). Green Iguanas (Iguana iguana) in Puerto Rico: is it time for management?. Biological invasions, 14(1), 35-45.	Animalia	Plantae
	NCBI:txid9697	Herpestidae							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid8517	Iguana iguana			http://purl.obolibrary.org/obo/UBERON_0000068	egg					ISO 3166-2:PR	Puerto rico						10.1007/s10530-011-0057-0	https://link.springer.com/article/10.1007/s10530-011-0057-0	López-Torres, A. L., Claudio-Hernández, H. J., Rodriguez-Gomez, C. A., Longo, A. V., & Joglar, R. L. (2012). Green Iguanas (Iguana iguana) in Puerto Rico: is it time for management?. Biological invasions, 14(1), 35-45.	Animalia	Animalia
	NCBI:txid9615	Canis familiaris							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid8517	Iguana iguana			http://purl.obolibrary.org/obo/UBERON_0000068	egg					ISO 3166-2:PR	Puerto rico						10.1007/s10530-011-0057-0	https://link.springer.com/article/10.1007/s10530-011-0057-0	López-Torres, A. L., Claudio-Hernández, H. J., Rodriguez-Gomez, C. A., Longo, A. V., & Joglar, R. L. (2012). Green Iguanas (Iguana iguana) in Puerto Rico: is it time for management?. Biological invasions, 14(1), 35-45.	Animalia	Animalia
	NCBI:txid9685	Felis catus							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid8517	Iguana iguana			http://purl.obolibrary.org/obo/UBERON_0000068	egg					ISO 3166-2:PR	Puerto rico						10.1007/s10530-011-0057-0	https://link.springer.com/article/10.1007/s10530-011-0057-0	López-Torres, A. L., Claudio-Hernández, H. J., Rodriguez-Gomez, C. A., Longo, A. V., & Joglar, R. L. (2012). Green Iguanas (Iguana iguana) in Puerto Rico: is it time for management?. Biological invasions, 14(1), 35-45.	Animalia	Animalia
	NCBI:txid9697	Herpestidae							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid8517	Iguana iguana			http://purl.obolibrary.org/obo/UBERON_0007023	adult					ISO 3166-2:PR	Puerto rico						10.1007/s10530-011-0057-0	https://link.springer.com/article/10.1007/s10530-011-0057-0	López-Torres, A. L., Claudio-Hernández, H. J., Rodriguez-Gomez, C. A., Longo, A. V., & Joglar, R. L. (2012). Green Iguanas (Iguana iguana) in Puerto Rico: is it time for management?. Biological invasions, 14(1), 35-45.	Animalia	Animalia
	NCBI:txid9615	Canis familiaris							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid8517	Iguana iguana			http://purl.obolibrary.org/obo/UBERON_0007023	adult					ISO 3166-2:PR	Puerto rico						10.1007/s10530-011-0057-0	https://link.springer.com/article/10.1007/s10530-011-0057-0	López-Torres, A. L., Claudio-Hernández, H. J., Rodriguez-Gomez, C. A., Longo, A. V., & Joglar, R. L. (2012). Green Iguanas (Iguana iguana) in Puerto Rico: is it time for management?. Biological invasions, 14(1), 35-45.	Animalia	Animalia
	NCBI:txid9685	Felis catus							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid8517	Iguana iguana			http://purl.obolibrary.org/obo/UBERON_0007023	adult					ISO 3166-2:PR	Puerto rico						10.1007/s10530-011-0057-0	https://link.springer.com/article/10.1007/s10530-011-0057-0	López-Torres, A. L., Claudio-Hernández, H. J., Rodriguez-Gomez, C. A., Longo, A. V., & Joglar, R. L. (2012). Green Iguanas (Iguana iguana) in Puerto Rico: is it time for management?. Biological invasions, 14(1), 35-45.	Animalia	Animalia
	NCBI:txid8517	Iguana iguana							http://purl.obolibrary.org/obo/RO_0002437	interacts with		NCBI:txid27794	Dermochelys coriacea									ISO 3166-2:PR	Puerto rico						10.1007/s10530-011-0057-0	https://link.springer.com/article/10.1007/s10530-011-0057-0	López-Torres, A. L., Claudio-Hernández, H. J., Rodriguez-Gomez, C. A., Longo, A. V., & Joglar, R. L. (2012). Green Iguanas (Iguana iguana) in Puerto Rico: is it time for management?. Biological invasions, 14(1), 35-45.	Animalia	Animalia
	NCBI:txid8517	Iguana iguana							http://purl.obolibrary.org/obo/RO_0002437	interacts with		NCBI:txid27794	Dermochelys coriacea									ISO 3166-2:PR	Puerto rico						10.1007/s10530-011-0057-0	https://link.springer.com/article/10.1007/s10530-011-0057-0	López-Torres, A. L., Claudio-Hernández, H. J., Rodriguez-Gomez, C. A., Longo, A. V., & Joglar, R. L. (2012). Green Iguanas (Iguana iguana) in Puerto Rico: is it time for management?. Biological invasions, 14(1), 35-45.	Animalia	Animalia
